PREDICTION: a window mean clears the bar only while bar is near or below
the MEAN of the distribution, not at a high quantile of it.

  tension mean 0.007433   this is the quantile the mean sits at: 38th

 quantile        bar  bar/mean  single>bar  5-win mean>bar
     0.50   0.007514      1.01       49.8%           61.3%
     0.60   0.007532      1.01       39.8%           49.4%
     0.65   0.007710      1.04       34.8%           45.3%
     0.70   0.007717      1.04       29.8%           35.9%
     0.75   0.007779      1.05       24.8%           24.6%
     0.80   0.007954      1.07       19.8%           24.6%
     0.85   0.007962      1.07       14.8%           24.6%
     0.90   0.010955      1.47        9.8%            0.0%
